,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
1,NORTHOAKS PRIMARY SCHOOL,61,SEMBAWANG DRIVE,NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,757622,25806.7564793983,48696.3499458954,1.45666687329388,103.813610010422,103.813610010422,Northoaks Primary School
2,MOE KINDERGARTEN @ NORTHOAKS PRIMARY SCHOOL,61,SEMBAWANG DRIVE,MOE KINDERGARTEN @ NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE MOE KINDERGARTEN @ NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,757622,25819.2899974361,48698.1500131544,1.45668315343519,103.813722636936,103.813722636936,Northoaks Primary School
0,EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16,WINSTEDT ROAD,EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16 WINSTEDT ROAD EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR) SINGAPORE 227988,227988,28916.3166898089,32403.7520947009,1.30932252730174,103.841552127373,103.841552127373,Anglo-Chinese School (Junior)
1,ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,227988,28801.2412965344,32403.6157071665,1.30932129705754,103.840518119364,103.840518119364,Anglo-Chinese School (Junior)
0,AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27972.9653680343,38088.8294471763,1.36073636488519,103.833075654586,103.833075654586,Ai Tong School
0,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7,PEI WAH AVENUE,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610,597610,21642.3594276104,35582.2457916811,1.33806704395876,103.776191458102,103.776191458102,Pei Hwa Presbyterian Primary School
0,PEIYING PRIMARY SCHOOL,651,YISHUN RING ROAD,PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD PEIYING PRIMARY SCHOOL SINGAPORE 768687,768687,27664.0163050024,44355.3129365072,1.41740819239645,103.830299468024,103.830299468024,Peiying Primary School
1,COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL,651,YISHUN RING ROAD,COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL SINGAPORE 768687,768687,27646.6270154091,44356.206750067,1.41741627551251,103.830143209875,103.830143209875,Peiying Primary School
0,SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL),91,TELOK BLANGAH HEIGHTS,SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL),91 TELOK BLANGAH HEIGHTS SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL) SINGAPORE 109100,109100,25252.1767959753,28732.4376898836,1.2761203442885,103.808628381578,103.808628381578,Blangah Rise Primary School
1,BLANGAH RISE PRIMARY SCHOOL,91,TELOK BLANGAH HEIGHTS,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100,109100,25253.3820670871,28733.5390207395,1.27613030444271,103.808639211285,103.808639211285,Blangah Rise Primary School
