flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
79 TOA PAYOH CTRL,Kheng Cheng School,0.30848276352455495,13,Blk 93 Toa Payoh Lorong 4,0.4798585506200891,5,TOA PAYOH MRT STATION,0.2104827871109083,8,0.18238997686671574,20,5.590296794536232
1 HAIG RD,Haig Girls' School,0.5536791073289236,10,Blks 13/14 Haig Road,0.485429066280787,10,PAYA LEBAR MRT STATION,0.9152689647939443,8,0.4844264798669608,21,5.961056982129887
643 PASIR RIS DR 10,Park View Primary School,0.19181719845458223,4,Market Street Food Centre,3.6111481059398605,0,PASIR RIS MRT STATION,1.3606797145435598,1,0.29616263309670765,6,14.13923832288149
406 SERANGOON AVE 1,Yangzheng Primary School,0.5501921445419802,9,Serangoon Garden Market,1.8561858311661688,4,SERANGOON MRT STATION,0.23240854046249293,7,0.3628641433424505,13,7.4276951749507
430 HOUGANG AVE 6,Punggol Primary School,0.35477793856625933,17,Kovan Market & Food Centre,1.9647077858019053,2,HOUGANG MRT STATION,0.45654134400612706,10,0.32305956975516315,16,11.10632680100764
258 JURONG EAST ST 24,Yuhua Primary School,0.2655502148088982,11,Market Street Food Centre,0.09229543685762155,1,CHINESE GARDEN MRT STATION,0.6875211704505743,5,0.5965614360758117,17,14.181680783208602
427 PASIR RIS DR 6,Casuarina Primary School,0.3090751850062554,14,Market Street Food Centre,2.994712107538438,0,PASIR RIS MRT STATION,0.8105464955572749,2,0.33117220067220066,13,15.041990974738479
897A TAMPINES ST 81,Junyuan Primary School,0.45084188401623326,16,Market Street Food Centre,1.0642052400084459,2,TAMPINES WEST MRT STATION,0.42212679430318484,4,0.18653911963493067,17,11.662431553374176
308B PUNGGOL WALK,Valour Primary School,0.12394213636768273,22,Kovan Market & Food Centre,5.587956748488083,0,SUMANG LRT STATION,0.13856080788986536,19,0.062310065539870424,15,14.68399053204899
107 GANGSA RD,Zhenghua Primary School,0.3392786500749931,11,Bukit Timah Market,4.369667655187134,0,PETIR LRT STATION,0.026081322816615862,15,0.3417930554458064,13,14.022026698469475
7 JLN BATU,Pei Hwa Presbyterian Primary School,1.3218928324503558,1,Bukit Timah Market,1.376953139267237,1,KING ALBERT PARK MRT STATION,0.4464506121484033,3,0.13658467425425436,9,9.089356151706188
407 CHOA CHU KANG AVE 3,Chua Chu Kang Primary School,0.3172368532375405,9,Market Street Food Centre,4.093793638980667,0,SOUTH VIEW LRT STATION,0.4997301292182022,6,0.08041445410237343,10,16.27573636373179
124 PASIR RIS ST 11,White Sands Primary School,0.7362577773452904,19,Market Street Food Centre,2.4652455285877886,0,PASIR RIS MRT STATION,0.9727343339420951,4,0.6022911993949001,16,14.583152045190749
613B BEDOK RESERVOIR RD,Damai Primary School,0.44192041794962794,12,Blk 538 Bedok North Street 3,0.7712555153093884,4,BEDOK NORTH MRT STATION,0.21818394074479638,5,0.36557837913391006,17,9.175736721276786
498 JURONG WEST ST 41,Shuqun Primary School,0.31744527640850884,14,Blk 505 Jurong West Street 52,0.6679955518972708,4,LAKESIDE MRT STATION,0.5831345503746428,2,1.5435064806427643e-07,9,15.829917244255416
732 JURONG WEST ST 73,West Grove Primary School,0.14380477732452362,14,Blk 505 Jurong West Street 52,2.138624697740666,0,PIONEER MRT STATION,0.9463530240699737,2,0.5345593733288636,9,18.22353923926422
451 FAJAR RD,Beacon Primary School,0.1911411439995866,8,Bukit Timah Market,5.040570393638969,0,FAJAR LRT STATION,0.1657313727715846,12,0.22761971777408163,8,14.219628030418317
241 BISHAN ST 22,Catholic High School (Primary),0.7270665735623889,12,Blk 409 Ang Mo Kio Ave 10,1.1225926351530586,3,ANG MO KIO MRT STATION,1.1034286560880564,4,0.4417037679219235,16,8.508915458317208
